amount,dataset,date,longitude,latitude
10,CBERS4_AWFI_L4_SR,2016-05-01,-47.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-05-02,-39.0,-4.5
6,CBERS4_AWFI_L4_SR,2016-05-03,-54.0,1.0
10,CBERS4_AWFI_L4_SR,2016-05-04,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-05-05,-38.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-05-06,-53.0,1.0
11,CBERS4_AWFI_L4_SR,2016-05-07,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-05-08,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-05-09,-52.0,1.0
11,CBERS4_AWFI_L4_SR,2016-05-10,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-05-11,-37.0,-9.5
10,CBERS4_AWFI_L4_SR,2016-05-12,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2016-05-13,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-05-14,-35.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-05-15,-50.0,1.0
10,CBERS4_AWFI_L4_SR,2016-05-16,-42.5,-4.5
9,CBERS4_AWFI_L4_SR,2016-05-17,-56.5,6.5
11,CBERS4_AWFI_L4_SR,2016-05-18,-49.0,1.0
13,CBERS4_AWFI_L4_SR,2016-05-19,-41.5,-4.5
9,CBERS4_AWFI_L4_SR,2016-05-20,-55.5,6.5
12,CBERS4_AWFI_L4_SR,2016-05-21,-48.0,1.0
12,CBERS4_AWFI_L4_SR,2016-05-22,-40.5,-4.5
9,CBERS4_AWFI_L4_SR,2016-05-23,-55.0,6.5
10,CBERS4_AWFI_L4_SR,2016-05-24,-48.5,-4.5
14,CBERS4_AWFI_L4_SR,2016-05-25,-40.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-05-26,-54.0,6.5
10,CBERS4_AWFI_L4_SR,2016-05-27,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-05-28,-39.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-05-29,-53.0,6.5
9,CBERS4_AWFI_L4_SR,2016-05-30,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-05-31,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-06-01,-52.0,6.5
10,CBERS4_AWFI_L4_SR,2016-06-02,-45.5,-4.5
